Paper,#,TOPIC,SECTION,SECTION PART,BATCH TYPE,SCOPE,TASK
1,1,ESG Rating Inconsistency,introduction,Motivation: Conflicting ESG Scores,Primary,"Domains: ESG, Finance, Sustainability<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Explain why ESG ratings for the same firm often diverge and why this inconsistency undermines trust and decision-making.
1,2,ESG Rating Systems,background,Construction of ESG Ratings,Primary,"Domains: ESG Analytics, Sustainability Accounting<br>Time window: 2015–2025<br>Sources: peer-reviewed journals","Describe how ESG ratings are typically constructed, focusing on aggregation, weighting, and opacity issues."
1,3,ESG Rating Systems,taxonomy,Aggregation and Scoring Approaches,Primary,"Domains: ESG, Machine Learning, Finance<br>Time window: 2015–2025<br>Sources: peer-reviewed journals","Categorize existing ESG scoring approaches (statistical, rule-based, hybrid) without evaluating individual papers."
1,4,Explainable AI for ESG,methods,Neurosymbolic Scoring Frameworks,Primary,"Domains: XAI, Knowledge Graphs, ESG<br>Time window: 2018–2025<br>Sources: peer-reviewed journals",Summarize neurosymbolic approaches that combine learning-based models with symbolic constraints for ESG scoring.
1,5,Explainable AI for ESG,challenges,Transparency and Rule Encoding Limits,Critical,"Domains: XAI, ESG Regulation<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Identify limitations in encoding regulatory rules and achieving transparency in ESG scoring systems.
1,6,Explainable AI for ESG,future_directions,Toward Auditable ESG Scoring,Synthesis,"Domains: XAI, ESG Regulation, Finance<br>Time window: 2020–2025<br>Sources: peer-reviewed journals","Synthesize literature-backed directions toward auditable, regulation-aligned ESG scoring systems."
2,1,ESG and Financial Risk,introduction,Motivation: ESG in Credit Risk,Primary,"Domains: Finance, ESG, Risk Management<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Explain why ESG factors are increasingly linked to credit risk and financial stability.
2,2,SME Sustainability Data,background,ESG Data Scarcity in SMEs,Primary,"Domains: SMEs, Sustainability Reporting<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Describe data availability challenges for ESG assessment in small and medium enterprises.
2,3,ESG Risk Modeling,taxonomy,Correlational vs Causal Models,Alternative,"Domains: Causal Inference, Finance, ESG<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Contrast correlational ESG risk models with causal inference-based approaches.
2,4,ESG Risk Modeling,methods,Causal Inference for Credit Risk,Primary,"Domains: Causal Inference, Econometrics, ESG<br>Time window: 2018–2025<br>Sources: peer-reviewed journals",Summarize causal modeling techniques used to assess ESG-driven credit risk.
2,5,SME Finance,challenges,Transferability from Large Firms,Critical,"Domains: SME Finance, ESG Analytics<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Discuss limitations in transferring ESG models from large firms to SMEs.
2,6,SME Finance,future_directions,Scalable SME ESG Risk Assessment,Synthesis,"Domains: Finance, ESG, SMEs<br>Time window: 2020–2025<br>Sources: peer-reviewed journals",Synthesize literature-supported directions for scalable ESG risk assessment for SMEs.
3,1,Timeliness of ESG Data,introduction,Motivation: Limits of Static ESG Reporting,Primary,"Domains: ESG, Sustainability Reporting<br>Time window: 2015–2025<br>Sources: peer-reviewed journals",Explain why annual or static ESG reports fail to capture timely sustainability risks.
3,2,ESG Monitoring Systems,background,Event-Driven ESG Signals,Primary,"Domains: ESG Analytics, Information Systems<br>Time window: 2015–2025<br>Sources: peer-reviewed journals","Describe how event-driven data (news, litigation, controversies) are used as ESG signals."
3,3,ESG Intelligence Systems,taxonomy,Static vs Dynamic ESG Assessment,Alternative,"Domains: ESG, Information Retrieval<br>Time window: 2015–2025<br>Sources: peer-reviewed journals","Contrast static ESG assessment approaches with dynamic, stream-based systems."
3,4,Knowledge Graphs in ESG,methods,KG-RAG Architectures for ESG,Primary,"Domains: Knowledge Graphs, NLP, ESG<br>Time window: 2018–2025<br>Sources: peer-reviewed journals",Summarize KG-RAG architectures used for real-time ESG intelligence and monitoring.
3,5,ESG Intelligence,challenges,"Noise, Drift, and Verification",Critical,"Domains: NLP, ESG Risk, AI Reliability<br>Time window: 2018–2025<br>Sources: peer-reviewed journals","Identify challenges related to data noise, concept drift, and factual verification in real-time ESG systems."
3,6,ESG Intelligence,future_directions,Continuous ESG Auditing,Synthesis,"Domains: ESG, AI Governance, Regulation<br>Time window: 2020–2025<br>Sources: peer-reviewed journals","Synthesize literature-supported directions toward continuous, real-time ESG auditing."